#{"t_start": 1649682621.0002048, "env_id": "Reacher-v2"}
r,l,t
-47.280711,50,68.082237
-32.939082,50,68.132465
-35.299257,50,68.184097
-31.293225,50,68.234792
-39.510276,50,68.285569
-32.555244,50,68.336903
-52.180918,50,68.387888
-41.206557,50,68.43919
-31.810669,50,68.489617
-41.889379,50,68.540287
-39.496664,50,68.590571
-33.664851,50,68.641645
-31.313667,50,68.692519
-48.675981,50,68.742703
-36.576206,50,68.793604
-29.885609,50,68.845016
-30.910225,50,68.89401
-23.911074,50,68.944749
-32.374413,50,68.994904
-38.946549,50,69.045002
-32.833424,50,69.094763
-37.265921,50,69.144693
-38.923519,50,69.194798
-34.543467,50,69.244804
-32.094348,50,69.295068
-34.029622,50,70.728032
-38.401717,50,70.77481
-27.769726,50,70.821429
-31.968946,50,70.870848
-32.964012,50,70.921006
-33.191833,50,70.968055
-43.494808,50,71.015164
-28.394295,50,71.06216
-39.849056,50,71.112274
-24.114554,50,71.16261
-36.502339,50,71.213911
-35.88677,50,71.264533
-26.555764,50,71.314794
-30.528594,50,71.366824
-26.022235,50,71.416484
-29.647108,50,71.466491
-30.565166,50,71.518229
-43.734199,50,71.568383
-29.429545,50,71.619328
-29.424621,50,71.671829
-42.839176,50,71.723644
-32.270077,50,71.774302
-31.490347,50,71.824785
-39.612447,50,71.875391
-39.819937,50,71.927201
-35.953683,50,71.977657
-33.66722,50,72.028562
-42.501234,50,72.08031
-34.400164,50,72.130804
-49.510683,50,72.181487
-30.334632,50,72.231748
-30.587486,50,72.282412
-30.266242,50,72.333505
-32.657015,50,72.386091
-46.501932,50,72.436555
-26.825187,50,72.486866
-37.396364,50,72.538101
-40.61438,50,72.588078
-29.87905,50,72.638409
-30.059589,50,72.689312
-42.329086,50,72.739778
-31.558761,50,74.182531
-30.770931,50,74.232394
-32.691422,50,74.282017
-29.054887,50,74.33165
-31.066829,50,74.381033
-33.046888,50,74.430667
-26.591768,50,74.47993
-23.897912,50,74.529714
-28.861295,50,74.579111
-30.021126,50,74.630174
-25.01126,50,74.680715
-29.676599,50,74.730451
-38.425742,50,74.778855
-32.307166,50,74.825176
-42.290181,50,74.87165
-23.012804,50,74.918314
-30.908521,50,74.965194
-32.523936,50,75.01476
-33.698672,50,75.061829
-28.63673,50,75.108958
-27.865193,50,75.155942
-38.35689,50,75.203325
-31.937425,50,75.252935
-41.794607,50,75.302642
-29.229641,50,75.35292
-29.38889,50,75.402735
-31.529618,50,75.452602
-32.336438,50,75.503402
-27.563534,50,75.552616
-21.772122,50,75.601909
-32.133068,50,75.652239
-37.140763,50,75.702182
-31.592562,50,75.751285
-27.491662,50,75.802037
-28.064534,50,75.852222
-25.764379,50,75.902773
-26.697227,50,75.953239
-36.764634,50,76.003261
-28.70568,50,76.053358
-37.022662,50,76.103293
-28.656013,50,76.154296
-30.433591,50,77.61854
-32.141335,50,77.668608
-29.403284,50,77.717824
-29.260847,50,77.767347
-33.172551,50,77.816809
-28.551431,50,77.86642
-31.557706,50,77.916497
-27.650745,50,77.965974
-31.199675,50,78.015764
-37.116152,50,78.065697
-31.211371,50,78.115337
-20.384706,50,78.165247
-24.384979,50,78.214922
-30.728195,50,78.264464
-24.851011,50,78.314151
-32.761087,50,78.363765
-22.075754,50,78.413845
-24.250457,50,78.463349
-34.934081,50,78.513175
-27.271498,50,78.562661
-39.416874,50,78.61195
-31.673833,50,78.661632
-26.920524,50,78.711648
-30.637729,50,78.761082
-26.484815,50,78.811073
-38.698003,50,78.860488
-22.546367,50,78.910926
-27.128259,50,78.957174
-21.336999,50,79.003653
-26.557855,50,79.049908
-27.658726,50,79.096199
-28.155605,50,79.144724
-23.305531,50,79.194135
-25.060158,50,79.244835
-31.313181,50,79.296262
-28.385025,50,79.343323
-24.965714,50,79.389992
-30.232146,50,79.436648
-26.83645,50,79.483344
-27.788112,50,79.530928
-35.402046,50,79.580879
-33.284167,50,81.023405
-30.837829,50,81.0734
-19.089784,50,81.123516
-26.877924,50,81.17453
-33.04305,50,81.224517
-31.41491,50,81.274449
-20.721395,50,81.324903
-31.140205,50,81.376182
-24.553159,50,81.425512
-25.660556,50,81.476392
-29.226912,50,81.527145
-33.505038,50,81.57754
-37.636572,50,81.627694
-30.597854,50,81.677736
-40.016631,50,81.727689
-21.891061,50,81.777476
-18.920268,50,81.827543
-22.767004,50,81.877349
-35.631277,50,81.927782
-28.808035,50,81.977957
-36.35619,50,82.028067
-21.032234,50,82.078341
-30.287718,50,82.128697
-23.380892,50,82.178905
-26.273981,50,82.230872
-31.078952,50,82.280966
-21.97122,50,82.331326
-25.354626,50,82.381615
-24.70152,50,82.431985
-33.160033,50,82.482761
-25.097321,50,82.53292
-17.74576,50,82.582823
-27.641974,50,82.633726
-30.263431,50,82.684294
-28.576449,50,82.734363
-33.278607,50,82.784428
-29.298494,50,82.834188
-32.331024,50,82.884305
-28.230217,50,82.934344
-27.150539,50,82.985024
-23.81483,50,83.035048
-22.923832,50,84.456451
-28.410602,50,84.506961
-24.548126,50,84.558957
-27.01731,50,84.60957
-20.034197,50,84.66017
-23.181235,50,84.710459
-24.056179,50,84.76147
-24.041719,50,84.812177
-24.352471,50,84.862686
-23.572499,50,84.912471
-28.569806,50,84.962942
-29.967567,50,85.013008
-30.492867,50,85.063636
-19.530303,50,85.113978
-18.345024,50,85.164644
-26.775042,50,85.21544
-22.229501,50,85.265177
-19.810258,50,85.314873
-23.163236,50,85.364851
-22.013629,50,85.41479
-25.078986,50,85.464986
-22.782537,50,85.515845
-25.452693,50,85.566222
-28.234338,50,85.616377
-33.779444,50,85.666653
-26.197559,50,85.716511
-23.132903,50,85.76663
-21.537571,50,85.816852
-36.137872,50,85.867352
-20.769956,50,85.918397
-31.260977,50,85.967524
-24.680939,50,86.017874
-27.628262,50,86.067351
-30.678274,50,86.117868
-14.258601,50,86.168401
-25.128434,50,86.218562
-31.7145,50,86.269205
-26.914368,50,86.319002
-33.075129,50,86.368822
-25.742225,50,86.41871
-29.562162,50,86.468702
-20.387723,50,87.869546
-23.038314,50,87.916921
-19.681925,50,87.963859
-21.322618,50,88.01094
-21.583213,50,88.057881
-28.594796,50,88.106811
-22.797109,50,88.15685
-22.986568,50,88.207163
-25.415487,50,88.257271
-29.711144,50,88.307548
-18.547472,50,88.358422
-24.377958,50,88.408303
-18.362051,50,88.457484
-14.596227,50,88.507955
-17.079027,50,88.55815
-22.24929,50,88.606665
-22.360104,50,88.657324
-20.445956,50,88.708459
-31.888613,50,88.758647
-30.839881,50,88.808779
-28.020705,50,88.859146
-29.017207,50,88.910362
-23.689104,50,88.960747
-26.888226,50,89.011235
-27.7274,50,89.062709
-20.210127,50,89.113149
-26.683144,50,89.163131
-20.530099,50,89.213191
-20.276021,50,89.263116
-25.80838,50,89.313971
-32.352428,50,89.365078
-24.516038,50,89.415221
-29.808525,50,89.465574
-23.624229,50,89.515526
-21.297231,50,89.565741
